Infections,Deaths,Recoveries,Active,New Infections,Hospital,Hospital Queue
1,0,0,1,0,0,0
19,0,0,19,18,18,0
51,0,0,51,32,50,0
104,0,0,104,53,103,0
153,0,0,153,49,152,0
195,0,0,195,42,194,0
239,0,0,239,44,238,0
290,0,0,290,51,289,0
357,0,0,357,67,356,0
415,0,0,415,58,414,0
478,0,0,478,63,477,0
575,0,0,575,97,574,0
694,0,0,694,119,693,0
834,0,0,834,140,833,0
1001,0,0,1001,167,1000,0
1095,0,1,1094,94,1094,0
1283,1,18,1264,188,1264,0
1415,3,48,1364,132,1364,0
1589,4,100,1485,174,1485,0
1744,5,148,1591,155,1591,0
1896,10,185,1701,152,1701,0
2026,13,226,1787,130,1787,0
2173,13,277,1883,147,1883,0
2343,13,344,1986,170,1986,0
2537,16,399,2122,194,2122,0
2747,21,457,2269,210,2269,0
2921,26,549,2346,174,2346,0
3130,29,665,2436,209,2436,0
3318,37,797,2484,188,2484,0
3510,45,956,2509,192,2509,0
3773,49,1046,2678,263,2678,0
3984,60,1223,2701,211,2701,0
4224,68,1347,2809,240,2809,0
4498,77,1512,2909,274,2909,0
4777,90,1654,3033,279,3033,0
5050,96,1800,3154,273,3154,0
5364,100,1926,3338,314,3338,0
5667,108,2065,3494,303,3494,0
6004,111,2232,3661,337,3661,0
6404,123,2414,3867,400,3867,0
6752,137,2610,4005,348,4005,0
7175,148,2773,4254,423,4254,0
7572,155,2975,4442,397,4442,0
8134,167,3151,4816,562,4816,0
8609,178,3332,5099,475,5099,0
9132,195,3578,5359,523,5359,0
9628,204,3780,5644,496,5644,0
10117,214,4010,5893,489,5893,0
10699,225,4273,6201,582,6201,0
11285,237,4540,6508,586,6508,0
11808,244,4806,6758,523,6758,0
12312,267,5097,6948,504,6948,0
12877,286,5381,7210,565,7210,0
13496,303,5701,7492,619,7492,0
14062,329,6075,7658,566,7658,0
14616,351,6401,7864,554,7864,0
15108,366,6809,7933,492,7933,0
15652,384,7188,8080,544,8080,0
16182,421,7713,8048,530,8048,0
16646,442,8167,8037,464,8037,0
17092,471,8661,7960,446,7960,0
17533,506,9122,7905,441,7905,0
18021,530,9587,7904,488,7904,0
18431,558,10141,7732,410,7732,0
18883,584,10701,7598,452,7598,0
19271,607,11201,7463,388,7463,0
19669,640,11672,7357,398,7357,0
20051,680,12197,7174,382,7174,0
20419,716,12780,6923,368,6923,0
20780,748,13314,6718,361,6718,0
21204,765,13851,6588,424,6588,0
21585,797,14311,6477,381,6477,0
21957,834,14818,6305,372,6305,0
22409,861,15321,6227,452,6227,0
22816,886,15760,6170,407,6170,0
23252,906,16186,6160,436,6160,0
23639,928,16605,6106,387,6106,0
24148,953,17068,6127,509,6127,0
24571,965,17466,6140,423,6140,0
25002,988,17895,6119,431,6119,0
25468,1015,18256,6197,466,6197,0
25908,1033,18636,6239,440,6239,0
26370,1055,18996,6319,462,6319,0
26811,1071,19348,6392,441,6392,0
27299,1090,19690,6519,488,6519,0
27829,1115,20089,6625,530,6625,0
28259,1137,20448,6674,430,6674,0
28820,1147,20810,6863,561,6863,0
29412,1166,21243,7003,592,7003,0
29966,1188,21628,7150,554,7150,0
30530,1213,22039,7278,564,7278,0
31161,1247,22392,7522,631,7522,0
31807,1264,22884,7659,646,7659,0
32454,1288,23283,7883,647,7883,0
33125,1318,23684,8123,671,8123,0
33812,1336,24132,8344,687,8344,0
34574,1358,24550,8666,762,8666,0
35309,1381,24989,8939,735,8939,0
36048,1410,25401,9237,739,9237,0
36825,1420,25879,9526,777,9526,0
37623,1443,26386,9794,798,9794,0
38428,1465,26794,10169,805,10000,169
39527,1488,27332,10707,1099,10000,707
40821,1515,27897,11409,1294,10077,1332
42696,1553,28413,12730,1875,10179,2551
45099,1586,28944,14569,2403,10327,4242
48141,1606,29555,16980,3042,10557,6423
52219,1636,30171,20412,4078,10969,9443
57858,1665,30789,25404,5639,11660,13744
65303,1696,31429,32178,7445,12746,19432
75218,1728,32084,41406,9915,14218,27188
88389,1767,32807,53815,13171,16520,37295
105177,1798,33511,69868,16788,19658,50210
126618,1836,34212,90570,21441,24355,66215
151037,1875,34950,114212,24419,30466,83746
177792,1913,35710,140169,26755,38396,101773
205124,1958,36470,166696,27332,49071,117625
231661,2090,37437,192134,26537,62059,130075
256905,2461,38360,216084,25244,77933,138151
281447,3483,39213,238751,24542,93964,144787
309925,5451,39648,264826,28478,100000,164826
354663,8228,39913,306522,44738,100000,206522
423618,11856,40363,371399,68955,100000,271399
521661,16768,41090,463803,98043,100000,363803
653502,23101,42202,588199,131841,100000,488199
