Infections,Deaths,Recoveries,Active,New Infections,Hospital,Hospital Queue
822439,31512,43706,747221,168937,100000,647221
1024799,41703,46686,936410,202360,100000,837099
1249446,51456,53721,1144269,224647,100000,1048347
1470748,58231,68387,1344130,221302,100000,1254606
1660879,59555,91482,1509842,190131,100000,1428399
1802115,61076,116716,1624323,141236,100000,1551146
1892541,62574,142550,1687417,90426,100000,1620698
1944697,64101,167560,1713036,52156,100000,1649518
1972437,65577,191328,1715532,27740,100000,1651178
1986457,69882,211565,1705010,14020,100000,1636546
1993270,90217,219708,1683345,6813,100000,1608312
1996569,133130,221533,1641906,3299,100000,1558787
1998154,200959,222659,1574536,1585,99414,1483186
1998954,288867,232794,1477293,800,90854,1397147
1999319,371114,282388,1345817,365,90556,1307508
1999527,417695,404744,1177088,208,90358,1217711
1999611,429901,594898,974812,84,90258,1127792
1999672,441225,808221,750226,61,90184,1037848
1999698,452111,1018637,528950,26,90124,947874
1999714,461677,1199202,338835,16,90092,857887
1999720,468666,1333449,197605,6,90069,767892
1999729,473174,1419367,107188,9,90061,677901
1999732,475706,1468991,55035,3,90044,587903
1999732,477069,1495368,27295,0,90034,497903
1999734,477840,1508617,13277,2,90032,407905
1999735,478142,1515128,6465,1,90030,317905
1999735,478305,1518264,3166,0,90027,227905
1999735,478371,1519783,1581,0,90023,137905
