Infections,Deaths,Recoveries,Active,New Infections,Hospital,Hospital Queue
1,0,0,1,0,0,0
1,0,0,1,0,0,0
3,0,0,3,2,2,0
3,0,0,3,0,2,0
3,0,0,3,0,2,0
3,0,0,3,0,2,0
4,0,0,4,1,3,0
8,0,0,8,4,7,0
8,0,0,8,0,7,0
8,0,0,8,0,7,0
9,0,0,9,1,8,0
13,0,0,13,4,12,0
18,0,0,18,5,17,0
24,0,0,24,6,23,0
24,0,0,24,0,23,0
28,0,1,27,4,27,0
31,0,1,30,3,30,0
35,0,3,32,4,32,0
38,0,3,35,3,35,0
41,0,3,38,3,38,0
45,0,3,42,4,42,0
47,0,4,43,2,43,0
51,0,8,43,4,43,0
51,0,8,43,0,43,0
56,0,8,48,5,48,0
58,0,9,49,2,49,0
60,0,13,47,2,47,0
62,0,18,44,2,44,0
63,0,24,39,1,39,0
66,0,24,42,3,42,0
69,1,27,41,3,41,0
70,1,30,39,1,39,0
70,1,34,35,0,35,0
70,2,36,32,0,32,0
71,2,39,30,1,30,0
72,2,43,27,1,27,0
72,2,45,25,0,25,0
74,2,49,23,2,23,0
75,2,49,24,1,24,0
77,2,54,21,2,21,0
77,2,56,19,0,19,0
79,2,58,19,2,19,0
79,2,60,17,0,17,0
79,2,61,16,0,16,0
79,2,64,13,0,13,0
79,2,67,10,0,10,0
80,2,68,10,1,10,0
80,2,68,10,0,10,0
81,2,68,11,1,11,0
81,2,69,10,0,10,0
81,2,70,9,0,9,0
85,2,70,13,4,13,0
85,2,72,11,0,11,0
87,2,73,12,2,12,0
88,3,74,11,1,11,0
89,3,74,12,1,12,0
89,3,76,10,0,10,0
91,3,76,12,2,12,0
93,3,76,14,2,14,0
93,3,76,14,0,14,0
94,3,76,15,1,15,0
94,3,77,14,0,14,0
94,3,77,14,0,14,0
95,3,78,14,1,14,0
95,3,78,14,0,14,0
96,3,78,15,1,15,0
97,3,82,12,1,12,0
98,3,82,13,1,13,0
98,3,84,11,0,11,0
100,3,85,12,2,12,0
101,3,86,12,1,12,0
101,3,86,12,0,12,0
105,4,87,14,4,14,0
105,4,89,12,0,12,0
105,4,89,12,0,12,0
108,5,89,14,3,14,0
110,5,89,16,2,16,0
110,5,89,16,0,16,0
110,5,90,15,0,15,0
110,5,90,15,0,15,0
110,5,91,14,0,14,0
110,5,92,13,0,13,0
110,6,92,12,0,12,0
112,6,92,14,2,14,0
112,6,94,12,0,12,0
113,6,95,12,1,12,0
113,6,95,12,0,12,0
114,6,99,9,1,9,0
115,6,99,10,1,10,0
115,6,99,10,0,10,0
116,6,102,8,1,8,0
118,6,104,8,2,8,0
119,6,104,9,1,9,0
120,6,104,10,1,10,0
120,6,104,10,0,10,0
125,6,104,15,5,15,0
126,6,104,16,1,16,0
128,6,104,18,2,18,0
128,6,106,16,0,16,0
131,6,106,19,3,19,0
132,6,107,19,1,19,0
139,6,107,26,7,26,0
141,6,108,27,2,27,0
145,6,109,30,4,30,0
145,6,109,30,0,30,0
148,6,110,32,3,32,0
150,6,112,32,2,32,0
151,6,113,32,1,32,0
153,6,114,33,2,33,0
153,6,114,33,0,33,0
157,6,119,32,4,32,0
157,6,120,31,0,31,0
163,6,122,35,6,35,0
163,6,122,35,0,35,0
167,6,125,36,4,36,0
169,6,126,37,2,37,0
170,7,132,31,1,31,0
174,8,133,33,4,33,0
177,8,137,32,3,32,0
177,8,137,32,0,32,0
177,8,140,29,0,29,0
179,8,142,29,2,29,0
182,8,143,31,3,31,0
188,8,145,35,6,35,0
189,8,145,36,1,36,0
191,8,149,34,2,34,0
191,8,149,34,0,34,0
191,9,154,28,0,28,0
195,9,154,32,4,32,0
195,9,158,28,0,28,0
196,10,159,27,1,27,0
196,10,160,26,0,26,0
196,10,164,22,0,22,0
200,11,166,23,4,23,0
205,11,166,28,5,28,0
205,11,166,28,0,28,0
205,11,168,26,0,26,0
205,11,171,23,0,23,0
205,11,177,17,0,17,0
205,11,178,16,0,16,0
205,11,180,14,0,14,0
205,11,180,14,0,14,0
206,11,180,15,1,15,0
206,11,184,11,0,11,0
206,11,184,11,0,11,0
210,11,185,14,4,14,0
212,11,185,16,2,16,0
213,11,185,17,1,17,0
213,11,189,13,0,13,0
214,11,194,9,1,9,0
214,11,194,9,0,9,0
214,11,194,9,0,9,0
215,11,194,10,1,10,0
215,11,194,10,0,10,0
215,11,194,10,0,10,0
217,11,194,12,2,12,0
217,11,194,12,0,12,0
218,11,195,12,1,12,0
219,11,195,13,1,13,0
220,11,195,14,1,14,0
220,11,199,10,0,10,0
220,11,201,8,0,8,0
220,11,202,7,0,7,0
221,11,202,8,1,8,0
221,11,203,7,0,7,0
221,11,203,7,0,7,0
