Infections,Deaths,Recoveries,Active,New Infections,Hospital,Hospital Queue
12651,577,10579,1495,100,1495,0
12739,583,10692,1464,88,1464,0
12835,590,10782,1463,96,1463,0
12931,593,10883,1455,96,1455,0
13013,596,10987,1430,82,1430,0
13097,601,11097,1399,84,1399,0
13155,604,11197,1354,58,1354,0
13231,607,11296,1328,76,1328,0
13328,614,11383,1331,97,1331,0
13392,620,11466,1306,64,1306,0
13448,622,11558,1268,56,1268,0
13519,623,11651,1245,71,1245,0
13579,626,11734,1219,60,1219,0
13651,630,11826,1195,72,1195,0
13715,633,11918,1164,64,1164,0
13777,637,12014,1126,62,1126,0
13822,644,12095,1083,45,1083,0
13881,648,12187,1046,59,1046,0
13930,651,12280,999,49,999,0
13974,655,12358,961,44,961,0
14016,658,12439,919,42,919,0
14057,663,12492,902,41,902,0
14093,664,12567,862,36,862,0
14133,670,12658,805,40,805,0
14187,671,12721,795,54,795,0
14233,671,12777,785,46,785,0
14259,674,12845,740,26,740,0
14283,677,12902,704,24,704,0
14325,679,12972,674,42,674,0
14348,680,13035,633,23,633,0
14365,682,13095,588,17,588,0
14389,685,13137,567,24,567,0
14409,688,13193,528,20,528,0
14431,691,13239,501,22,501,0
14442,694,13280,468,11,468,0
14455,695,13321,439,13,439,0
14467,698,13359,410,12,410,0
14480,700,13393,387,13,387,0
14502,704,13429,369,22,369,0
14524,708,13479,337,22,337,0
14538,711,13522,305,14,305,0
14554,712,13547,295,16,295,0
14574,715,13568,291,20,291,0
14588,718,13607,263,14,263,0
14607,720,13628,259,19,259,0
14615,720,13645,250,8,250,0
14626,720,13669,237,11,237,0
14632,720,13689,223,6,223,0
14643,720,13711,212,11,212,0
14649,720,13722,207,6,207,0
14653,720,13735,198,4,198,0
14656,720,13747,189,3,189,0
14670,720,13760,190,14,190,0
14676,722,13780,174,6,174,0
14682,723,13801,158,6,158,0
14684,724,13814,146,2,146,0
14691,726,13828,137,7,137,0
14700,729,13845,126,9,126,0
14703,730,13858,115,3,115,0
14707,732,13875,100,4,100,0
14709,733,13882,94,2,94,0
14714,733,13893,88,5,88,0
14725,733,13899,93,11,93,0
14727,733,13910,84,2,84,0
14731,733,13916,82,4,82,0
14737,733,13920,84,6,84,0
14742,734,13922,86,5,86,0
14745,737,13933,75,3,75,0
14748,738,13938,72,3,72,0
14749,738,13944,67,1,67,0
14750,738,13946,66,1,66,0
14753,738,13953,62,3,62,0
14754,738,13962,54,1,54,0
14758,738,13965,55,4,55,0
14760,738,13969,53,2,53,0
14762,738,13971,53,2,53,0
14765,738,13976,51,3,51,0
14769,738,13987,44,4,44,0
